#depth (m)	ice-age (yr b1950)	origin	thinning
0	-0.055	NaN	NaN
0.55	-0.050512233	NaN	NaN
1.1	-0.046024467	NaN	NaN
1.65	-0.0415367	NaN	NaN
2.2	-0.034515167	NaN	NaN
2.75	-0.027493633	NaN	NaN
3.3	-0.0204721	NaN	NaN
3.85	-0.012213637	NaN	NaN
4.4	-0.003955173	NaN	NaN
4.95	0.00430329	NaN	NaN
5.5	0.013221027	NaN	NaN
6.05	0.022138763	NaN	NaN
6.6	0.0310565	NaN	NaN
7.15	0.0397225	NaN	NaN
7.7	0.0483885	NaN	NaN
8.25	0.0570545	NaN	NaN
8.8	0.0663844	NaN	NaN
9.35	0.0757143	NaN	NaN
9.9	0.0850442	NaN	NaN
10.45	0.094865133	NaN	NaN
11	0.104686067	NaN	NaN
11.55	0.114507	NaN	NaN
12.1	0.124671	NaN	NaN
12.65	0.134835	NaN	NaN
13.2	0.144999	NaN	NaN
13.75	0.155443667	NaN	NaN
14.3	0.165888333	NaN	NaN
14.85	0.176333	NaN	NaN
15.4	0.186735	NaN	NaN
15.95	0.197137	NaN	NaN
16.5	0.207539	NaN	NaN
17.05	0.218351333	NaN	NaN
17.6	0.229163667	NaN	NaN
18.15	0.239976	NaN	NaN
18.7	0.251384333	NaN	NaN
19.25	0.262792667	NaN	NaN
19.8	0.274201	NaN	NaN
20.35	0.286165333	NaN	NaN
20.9	0.298129667	NaN	NaN
21.45	0.310094	NaN	NaN
22	0.322275333	NaN	NaN
22.55	0.334456667	NaN	NaN
23.1	0.346638	NaN	NaN
23.65	0.359389667	NaN	NaN
24.2	0.372141333	NaN	NaN
24.75	0.384893	NaN	NaN
25.3	0.397841667	NaN	NaN
25.85	0.410790333	NaN	NaN
26.4	0.423739	NaN	NaN
26.95	0.436393667	NaN	NaN
27.5	0.449048333	NaN	NaN
28.05	0.461703	NaN	NaN
28.6	0.474536	NaN	NaN
29.15	0.487369	NaN	NaN
29.7	0.500202	NaN	NaN
30.25	0.513421333	NaN	NaN
30.8	0.526640667	NaN	NaN
31.35	0.53986	NaN	NaN
31.9	0.553080667	NaN	NaN
32.45	0.566301333	NaN	NaN
33	0.579522	NaN	NaN
33.55	0.592396667	NaN	NaN
34.1	0.605271333	NaN	NaN
34.65	0.618146	NaN	NaN
35.2	0.630698333	NaN	NaN
35.75	0.643250667	NaN	NaN
36.3	0.655803	NaN	NaN
36.85	0.66945	NaN	NaN
37.4	0.683097	NaN	NaN
37.95	0.696744	NaN	NaN
38.5	0.711249333	NaN	NaN
39.05	0.725754667	NaN	NaN
39.6	0.74026	NaN	NaN
40.15	0.75486	NaN	NaN
40.7	0.76946	NaN	NaN
41.25	0.78406	NaN	NaN
41.8	0.797639333	NaN	NaN
42.35	0.811218667	NaN	NaN
42.9	0.824798	NaN	NaN
43.45	0.837547333	NaN	NaN
44	0.850296667	NaN	NaN
44.55	0.863046	NaN	NaN
45.1	0.876677333	NaN	NaN
45.65	0.890308667	NaN	NaN
46.2	0.90394	NaN	NaN
46.75	0.918548667	NaN	NaN
47.3	0.933157333	NaN	NaN
47.85	0.947766	NaN	NaN
48.4	0.962698667	NaN	NaN
48.95	0.977631333	NaN	NaN
49.5	0.992564	NaN	NaN
50.05	1.007386	NaN	NaN
50.6	1.022208	NaN	NaN
51.15	1.03703	NaN	NaN
51.7	1.051463333	NaN	NaN
52.25	1.065896667	NaN	NaN
52.8	1.08033	NaN	NaN
53.35	1.09511	NaN	NaN
53.9	1.10989	NaN	NaN
54.45	1.12467	NaN	NaN
55	1.13959	NaN	NaN
55.55	1.15451	NaN	NaN
56.1	1.16943	NaN	NaN
56.65	1.183663333	NaN	NaN
57.2	1.197896667	NaN	NaN
