#distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
6.3	1076.91	1205.1	1269.67	1341.45	1507.07	1595.86	1743.56	1888.2	1976.57	2093.6	2163.68	2273.59	2295.24	2485.01	2523.77	2582.06	2641.86	2704.28	2822.9
6.4	1078.56	1204.42	1268.83	1340.69	1507.53	1594.95	1747.53	1886.57	1975.48	2091.88	2162.51	2272.53	2295.73	2481.04	2522.37	2579.23	2643.68	2699.8	2821.68
6.5	1077.76	1203.77	1268.59	1341.56	1506.23	1593.94	1746.83	1884.74	1973.25	2090.34	2161.45	2271.55	2293.7	2481.51	2520.98	2576.47	2638.13	2695.43	2816.35
6.6	1079.15	1203.06	1267.82	1338.61	1504.25	1592.63	1745.88	1883.57	1970.97	2088.76	2158.69	2269.99	2291.46	2476.96	2518.99	2572.6	2633.8	2690.95	2810.66
6.7	1078.47	1202.33	1266.73	1336.94	1502.26	1591.25	1744.06	1881.05	1968.69	2087.18	2156.02	2268.42	2289.97	2476.51	2517	2568.2	2629.48	2686.47	2806.31
6.8	1076.56	1201.61	1266.45	1337.02	1500.34	1589.82	1742.28	1879.84	1966.47	2085.64	2153.42	2265.91	2287.74	2473.67	2515.05	2563.91	2625.27	2682.11	2802.07
6.9	1074.5	1200.88	1265.12	1335.84	1498.35	1588.68	1740.45	1877.91	1964.19	2083.45	2150.74	2263.79	2285.42	2471.11	2512.77	2559.5	2620.98	2677.63	2797.52
7.1	1073.18	1199.43	1263.66	1334.24	1495.51	1585.22	1736.85	1875.11	1959.68	2077.91	2145.47	2258.34	2279.97	2462.57	2505.66	2551.29	2612.71	2668.79	2788.55
7.2	1073.07	1198.7	1261.87	1331.55	1494.31	1584.08	1735.02	1870.8	1957.4	2075.1	2142.8	2255.9	2277.95	2460.2	2502.05	2548.06	2608.5	2665.16	2780.51
7.3	1071.16	1197.95	1260.87	1330.38	1493.11	1582.2	1733.2	1868.73	1955.12	2072.66	2140.13	2253.15	2274.63	2456.19	2498.45	2544.82	2604.28	2662.05	2774.11
7.4	1070.75	1197.08	1259.82	1329.43	1491.92	1580.78	1731.37	1868.01	1953.85	2070.45	2137.7	2251.12	2272.81	2453.4	2494.85	2541.59	2600.07	2658.92	2770.88
7.5	1071.7	1196.23	1259.28	1328.53	1490.75	1579.63	1729.37	1865.61	1951.47	2068.29	2136.02	2249.52	2272.32	2450.85	2491.34	2538.44	2596.74	2656.55	2768.32
7.6	1068.49	1195.36	1257.92	1327.37	1489.55	1578.03	1727.31	1863.8	1949.82	2066.07	2134.28	2248.11	2269.5	2449.45	2488.77	2535.2	2594.08	2652.77	2765.68
7.7	1066.89	1194.26	1256.39	1325.03	1487.97	1575.49	1724.71	1860.08	1946.46	2063.27	2132.09	2244.77	2267.22	2446.16	2486.28	2532.64	2591.37	2648.82	2762.33
7.8	1067.06	1193.26	1253.97	1324.16	1485.4	1573.73	1721.57	1857.42	1943.82	2060.77	2129.45	2242.35	2264.03	2443.21	2483.28	2531.11	2587.69	2644.06	2758.28
7.9	1065.43	1191.6	1253.34	1322.42	1482.94	1572.22	1718.43	1854.92	1942.09	2058.26	2126.8	2238.76	2261.19	2442.03	2480.27	2529.58	2583.65	2639.3	2755.15
