# distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
6.3	1077.76	1205.5	1268.77	1341.28	1507.53	1595.93	1744.61	1888.28	1976.77	2094.05	2163.99	2274.37	2295.16	2483.67	2524.14	2582.8	2643.14	2705.46	2822.77
6.4	1079.14	1204.55	1268.95	1341.28	1507.53	1595.07	1740.29	1886.56	1975.97	2092.18	2162.73	2273.28	2296.01	2483.2	2522.62	2579.75	2642.87	2700.62	2822.51
6.5	1077.7	1204.22	1268.44	1341.35	1506.59	1594.02	1746.96	1885.39	1973.96	2090.63	2161.59	2271.88	2293.66	2481.99	2521.26	2576.99	2639.29	2696.26	2817.45
6.6	1077.95	1203.23	1267.44	1339.28	1504.29	1592.91	1746.29	1883.84	1971.51	2089.14	2159.32	2270.56	2292.13	2479.66	2519.46	2573.65	2634.83	2692.01	2811.78
6.7	1076.78	1202.52	1267.71	1338.27	1502.61	1591.76	1744.54	1883.52	1969.29	2087.6	2156.72	2268.79	2290.07	2477.4	2517.52	2569.36	2630.96	2687.65	2807.46
6.8	1076.04	1201.79	1266.59	1337.11	1500.86	1590.44	1742.76	1880.22	1967.07	2086.06	2154.12	2266.68	2288.65	2474.26	2515.58	2565.07	2626.4	2683.29	2803.22
6.9	1073.77	1200.92	1265.57	1336.57	1498.98	1588.98	1741.03	1878.38	1964.91	2084.34	2151.59	2264.67	2286.34	2471.33	2513.69	2560.89	2622.36	2679.05	2798.96
7.1	1072.66	1199.68	1263.51	1333.57	1495.92	1585.74	1737.47	1875.95	1960.46	2078.87	2146.38	2259.4	2280.86	2462.52	2506.89	2552.4	2614.06	2670.32	2790.11
7.2	1073.71	1198.99	1262.67	1332.46	1494.79	1584.25	1735.74	1871.67	1958.72	2076.21	2143.85	2256.64	2278.11	2461.15	2503.48	2549.34	2610.16	2666.4	2783.03
7.3	1070.71	1197.53	1262.16	1331.21	1493.62	1582.96	1733.96	1869.23	1956.08	2073.6	2141.25	2255.05	2275.9	2457.37	2499.97	2546.18	2606.06	2663.36	2776.81
7.4	1071.03	1197.47	1260.69	1330.27	1492.93	1581.34	1732.19	1867.62	1953.86	2071.44	2138.65	2252.33	2273.46	2454.74	2496.46	2543.03	2601.95	2660.32	2772.06
7.5	1070.48	1196.62	1258.99	1329.14	1491.28	1579.89	1730.29	1865.79	1952.12	2069.28	2136.79	2250.24	2273.53	2452.43	2492.96	2539.88	2597.85	2657.28	2769.5
