LON	LAT	x	y	distance (km)	QL_bed	A_basal_unit	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
123.358536	-75.102257	1359353.842	-894917.9307	6.3	3235.41	nan	1077.76	1205.5	1268.77	1341.28	1507.53	1595.93	1744.61	1888.28	1976.77	2094.05	2163.99	2274.37	2295.16	2483.67	2524.14	2582.8	2643.14	2705.46	2822.77
123.357979	-75.103317	1359264.766	-894840.3473	6.4	3231.24	nan	1079.14	1204.55	1268.95	1341.28	1507.53	1595.07	1740.29	1886.56	1975.97	2092.18	2162.73	2273.28	2296.01	2483.2	2522.62	2579.75	2642.87	2700.62	2822.51
123.356926	-75.104279	1359192.474	-894756.9505	6.5	3225.96	nan	1077.7	1204.22	1268.44	1341.35	1506.59	1594.02	1746.96	1885.39	1973.96	2090.63	2161.59	2271.88	2293.66	2481.99	2521.26	2576.99	2639.29	2696.26	2817.45
123.355896	-75.105217	1359122.035	-894675.5597	6.6	3224.75	nan	1077.95	1203.23	1267.44	1339.28	1504.29	1592.91	1746.29	1883.84	1971.51	2089.14	2159.32	2270.56	2292.13	2479.66	2519.46	2573.65	2634.83	2692.01	2811.78
123.354828	-75.106178	1359050.065	-894591.874	6.7	3220.11	nan	1076.78	1202.52	1267.71	1338.27	1502.61	1591.76	1744.54	1883.52	1969.29	2087.6	2156.72	2268.79	2290.07	2477.4	2517.52	2569.36	2630.96	2687.65	2807.46
123.353714	-75.107132	1358979.456	-894507.5253	6.8	3194.43	nan	1076.04	1201.79	1266.59	1337.11	1500.86	1590.44	1742.76	1880.22	1967.07	2086.06	2154.12	2266.68	2288.65	2474.26	2515.58	2565.07	2626.4	2683.29	2803.22
123.352722	-75.10807	1358908.417	-894427.0448	6.9	3184.3	nan	1073.77	1200.92	1265.57	1336.57	1498.98	1588.98	1741.03	1878.38	1964.91	2084.34	2151.59	2264.67	2286.34	2471.33	2513.69	2560.89	2622.36	2679.05	2798.96
123.350594	-75.109993	1358764.243	-894259.8239	7.1	3193.15	nan	1072.66	1199.68	1263.51	1333.57	1495.92	1585.74	1737.47	1875.95	1960.46	2078.87	2146.38	2259.4	2280.86	2462.52	2506.89	2552.4	2614.06	2670.32	2790.11
123.349541	-75.110924	1358694.794	-894178.3306	7.2	3191.52	nan	1073.71	1198.99	1262.67	1332.46	1494.79	1584.25	1735.74	1871.67	1958.72	2076.21	2143.85	2256.64	2278.11	2461.15	2503.48	2549.34	2610.16	2666.4	2783.03
123.348541	-75.111893	1358621.01	-894095.7902	7.3	3182.05	nan	1070.71	1197.53	1262.16	1331.21	1493.62	1582.96	1733.96	1869.23	1956.08	2073.6	2141.25	2255.05	2275.9	2457.37	2499.97	2546.18	2606.06	2663.36	2776.81
123.347496	-75.112854	1358548.664	-894012.6713	7.4	3176.06	nan	1071.03	1197.47	1260.69	1330.27	1492.93	1581.34	1732.19	1867.62	1953.86	2071.44	2138.65	2252.33	2273.46	2454.74	2496.46	2543.03	2601.95	2660.32	2772.06
123.34642	-75.113815	1358476.8	-893928.8205	7.5	3157.69	nan	1070.48	1196.62	1258.99	1329.14	1491.28	1579.89	1730.29	1865.79	1952.12	2069.28	2136.79	2250.24	2273.53	2452.43	2492.96	2539.88	2597.85	2657.28	2769.5
123.345375	-75.114777	1358404.357	-893845.6472	7.6	3151.01	nan	1070.99	1195.77	1258.64	1329.16	1490.44	1578.68	1728.29	1863.68	1950.16	2067.12	2135.1	2248.62	2270.07	2450.7	2489.71	2536.73	2595.48	2654.24	2766.93
123.344368	-75.115738	1358331.411	-893763.4384	7.7	3148.32	nan	1068.8	1194.52	1258.66	1326.28	1488.98	1577.65	1726.28	1862.81	1948.08	2064.96	2133.42	2247.92	2268.68	2448.62	2487.79	2533.58	2593.15	2651.21	2764.35
123.345497	-75.117157	1358182.894	-893704.0663	7.8	3151.45	nan	1068.01	1193.68	1255.18	1323.94	1486.81	1574.51	1723.36	1859.02	1945.05	2062.19	2130.95	2243.98	2265.1	2445.75	2484.99	2531.98	2589.76	2646.77	2760.58
123.346786	-75.118599	1358029.763	-893647.085	7.9	3136.6	nan	1068.08	1192.43	1253.77	1323.29	1484.47	1573.07	1720.38	1856.62	1943.22	2059.82	2128.45	2241.21	2262.31	2441.84	2482.14	2530.53	2586.31	2642.25	2756.75
123.347809	-75.120003	1357884.29	-893586.1004	8	3133.66	nan	1066.22	1191.26	1253.11	1322.65	1482.21	1571.42	1717.51	1853.85	1941.6	2057.68	2126.03	2238.13	2260.13	2438.16	2479.39	2529.13	2583.42	2637.93	2754.46
123.348763	-75.121384	1357742.017	-893524.8722	8.1	3130.28	nan	1064.05	1190.23	1251.56	1321.32	1480	1570.18	1716.07	1852.08	1940.09	2056.38	2123.66	2236.19	2258.28	2437.01	2477.64	2527.76	2581.86	2634.77	2752.33
123.349792	-75.122787	1357596.549	-893464.0814	8.2	3126.51	nan	1063.78	1189.19	1250.84	1319.89	1478.08	1568.96	1715.55	1850.29	1938.56	2055.07	2121.54	2234.94	2257.14	2436.29	2477.4	2526.2	2580.13	2634.19	2749.99
123.350533	-75.124123	1357461.754	-893400.5301	8.3	3135.09	nan	1063.91	1187.82	1250.9	1319.11	1477.8	1567.83	1715.05	1849	1937.11	2053.82	2120.9	2234.86	2255.79	2434.46	2477.17	2525.27	2579.39	2633.65	2747.78
123.351791	-75.125572	1357308.477	-893342.3629	8.4	3158.85	nan	1063.12	1187.65	1250.13	1318.54	1477.49	1566.72	1714.51	1848.02	1935.52	2052.46	2120.2	2233.23	2255.54	2434.56	2476.34	2524.25	2579.82	2633.05	2748.47
123.352753	-75.126968	1357164.708	-893280.3962	8.5	3168.07	nan	1062.39	1187.63	1251.1	1319.04	1477.2	1565.94	1713.99	1847.01	1933.99	2051.36	2119.52	2233.28	2254.98	2436.46	2475.47	2523.26	2580.23	2632.47	2750.67
123.353294	-75.128258	1357037.282	-893214.8897	8.6	3175.9	nan	1062.58	1187.63	1249.06	1317.2	1476.92	1564.92	1713.5	1844.68	1932.57	2050.34	2118.89	2231.36	2253.72	2434	2474.62	2522.35	2576.52	2631.94	2748.79
123.354736	-75.129738	1356878.287	-893159.1828	8.7	3178.16	nan	1062.44	1187.63	1247.83	1317.16	1476.61	1563.64	1712.33	1842.87	1930.92	2049.15	2118.16	2230.86	2252.31	2432.72	2473.5	2521.29	2571.13	2630.94	2744.28
123.354065	-75.130791	1356791.618	-893079.3592	8.8	3172.92	nan	1061.67	1187.63	1248.41	1317.32	1476.38	1563.55	1711.4	1843.01	1929.76	2048.32	2117.65	2229.94	2251.64	2431.24	2472.71	2520.55	2571.13	2630.22	2741.24
123.35302	-75.131721	1356722.123	-892998.1497	8.9	3168.55	nan	1061.79	1187.63	1248.32	1316.96	1476.18	1563.04	1710.56	1841.98	1929.02	2047.57	2117.19	2229.74	2251.33	2430.25	2472	2519.88	2571.13	2629.57	2739.5
123.352196	-75.132751	1356639.956	-892916.1049	9	3166.16	nan	1061.28	1187.63	1247.86	1316.28	1475.97	1562.53	1709.65	1841.12	1928.15	2046.69	2117.2	2229.43	2251.34	2431.22	2471.24	2519.22	2571.13	2628.87	2739.14
123.351471	-75.133766	1356557.629	-892837.3173	9.1	3165.01	nan	1060.65	1187.63	1247.82	1316.16	1475.75	1561.8	1708.76	1840.38	1927.51	2045.74	2116.21	2230.17	2251.52	2431.03	2470.93	2518.92	2570.9	2628.18	2738.81
123.350769	-75.134796	1356473.558	-892758.166	9.2	3168.12	nan	1062.14	1187.63	1247.36	1315.75	1475.71	1561.8	1707.85	1839.58	1926.72	2044.77	2115.71	2230.17	2251.83	2431.19	2471.75	2518.62	2571.13	2627.48	2738.48
123.350266	-75.135872	1356382.142	-892680.9355	9.3	3165.34	nan	1060.89	1187.32	1246.88	1314.37	1475.31	1561.14	1707.67	1839.05	1925.81	2043.78	2115.2	2230.41	2252.1	2431.09	2472.59	2518.31	2571.13	2626.85	2737.02
123.349625	-75.136909	1356296.473	-892602.8076	9.4	3164.55	nan	1060.96	1186.64	1246.9	1314.64	1474.96	1560.59	1708.17	1838.96	1925.18	2042.81	2115.29	2230.68	2252.6	2431.91	2473.4	2518.01	2571.35	2626.06	2735.33
123.348572	-75.137871	1356224.138	-892519.4826	9.5	3163.17	nan	1062	1186.01	1246.49	1313.99	1474.89	1560.01	1708.65	1838.11	1925.59	2041.89	2116.63	2230.91	2253.11	2433.39	2474.76	2517.72	2573.46	2626.48	2736.8
123.347076	-75.138718	1356169.309	-892432.656	9.6	3164.9	nan	1061.23	1185.4	1246.19	1313.4	1478.06	1559.94	1709.09	1838.17	1925.57	2042.97	2117.9	2232.58	2253.73	2433.88	2476.27	2517.93	2575.59	2627.77	2740.85
123.342888	-75.139008	1356207.785	-892315.9234	9.7	3146.58	nan	1061.72	1184.6	1247.56	1312.1	1477.08	1560.52	1709.63	1838.61	1926.44	2044.96	2119.43	2234.34	2256.21	2435.34	2478.09	2520.48	2578.21	2629.3	2744.65
123.337746	-75.139069	1356282.233	-892190.5053	9.8	3134.25	nan	1061.84	1183.83	1246.01	1314.22	1475.93	1561.05	1710.26	1840.64	1927.46	2047.28	2121.21	2236.83	2259.15	2437.21	2480.21	2523.45	2579.95	2631.1	2747.84
