# distance(km)	inverted_thickness (m)
0. 	3504.6492
6.30	3504.6492
6.40	3503.3088
6.50	3485.4229
6.60	3467.9166
6.70	3454.4691
6.80	3442.7107
6.90	3430.1093
7.00	3421.1013
7.10	3412.8183
7.20	3403.9877
7.30	3390.6198
7.40	3383.8270
7.50	3376.8043
7.60	3376.5973
7.70	3368.5771
7.80	3365.2569
7.90	3362.3494
8.00	3359.7774
8.10	3354.4297
8.20	3352.4100
8.30	3352.5153
8.40	3358.9556
8.50	3367.9924
8.60	3366.7564
8.70	3357.7955
8.80	3353.6756
8.90	3352.6352
9.00	3351.9220
9.10	3352.2091
9.20	3355.0118
9.30	3349.7999
9.40	3345.3019
9.50	3349.4503
9.60	3355.0021
9.70	3356.8430
9.80	3351.5262
9.90	3342.7441
10.00	3326.8132
10.10	3325.6038
10.20	3329.0800
10.30	3329.0688
10.40	3328.2752
10.50	3326.9863
10.60	3325.3137
10.70	3318.9590
10.80	3303.7154
10.90	3278.5061
11.00	3256.3817
11.10	3237.1979
11.20	3224.3302
11.30	3215.2568
11.40	3207.2700
11.50	3188.2764
11.60	3156.7963
11.70	3128.2530
11.80	3104.9690
11.90	3090.1832
12.00	3078.3366
12.10	3070.6313
12.20	3068.8596
12.30	3073.0412
12.40	3080.2707
12.50	3084.7047
12.60	3081.2082
12.70	3077.3276
12.80	3077.5996
12.90	3080.0438
13.00	3082.0929
13.10	3083.9624
13.20	3084.9713
13.30	3085.5773
13.40	3086.0785
13.50	3083.5249
13.60	3075.2162
13.70	3067.5961
13.80	3064.1386
13.90	3065.5995
14.00	3075.2772
14.10	3089.4936
14.20	3112.9751
14.30	3141.3101
14.40	3175.0711
14.50	3208.7132
14.60	3234.6402
14.70	3240.0506
14.80	3217.8187
14.90	3185.6521
15.00	3158.4365
15.10	3147.9569
15.20	3142.4903
15.30	3139.2211
15.40	3136.8955
15.50	3140.7958
15.60	3155.7460
15.70	3173.5162
15.80	3190.0629
15.90	3211.7935
16.00	3227.6286
16.10	3237.9795
16.20	3246.8391
16.30	3261.1348
16.40	3282.1289
16.50	3304.0785
16.60	3323.6328
16.70	3344.6011
16.80	3374.0774
16.90	3417.3349
17.00	3459.4837
17.10	3486.6787
17.20	3511.2621
17.30	3529.8580
17.40	3547.9497
17.50	3573.2341
17.60	3598.9957
17.70	3625.4341
17.80	3642.3463
17.90	3654.1595
18.00	3663.1398
18.10	3675.6464
18.20	3674.6345
18.30	3664.3795
18.40	3643.7003
18.50	3619.7369
18.60	3587.9812
18.70	3547.3510
18.80	3498.3372
18.90	3441.8806
19.00	3398.5966
19.10	3370.4958
19.20	3354.6145
19.30	3352.0791
19.40	3360.5682
19.50	3364.9856
19.60	3368.6183
19.70	3382.8039
19.80	3395.7042
19.90	3408.2376
20.00	3431.8587
20.10	3459.2987
20.20	3499.5284
20.30	3557.8678
20.40	3625.5687
20.50	3673.5668
20.60	3628.4992
20.70	3573.2311
20.80	3522.9988
20.90	3486.9081
21.00	3460.2095
21.10	3441.4281
21.20	3422.7890
21.30	3405.0798
21.40	3405.7445
21.50	3414.0771
21.60	3427.0232
21.70	3444.7033
21.80	3463.3896
21.90	3489.1757
22.00	3514.1000
22.10	3534.6982
22.20	3556.4194
22.30	3556.7626
22.40	3538.3742
22.50	3486.8678
22.60	3433.5011
22.70	3381.4589
22.80	3341.8751
22.90	3310.9256
23.00	3281.5121
23.10	3258.7209
23.20	3232.9758
23.30	3212.2202
23.40	3193.2296
23.50	3170.3628
23.60	3151.0544
23.70	3140.2810
23.80	3139.1053
23.90	3132.2995
24.00	3136.5384
24.10	3142.7311
24.20	3154.3029
24.30	3173.9142
24.40	3194.4767
24.50	3213.5124
24.60	3230.9393
24.70	3209.1581
24.80	3190.5055
24.90	3167.9291
25.00	3147.2752
25.10	3133.7034
25.20	3121.6901
25.30	3104.4213
25.40	3088.0988
25.50	3073.6450
25.60	3065.5048
25.70	3064.5376
25.80	3074.1188
25.90	3084.4945
26.00	3088.2166
26.10	3092.7750
26.20	3091.8011
26.30	3079.7321
26.40	3070.4478
26.50	3061.9533
26.60	3067.7714
26.70	3080.1530
26.80	3091.7415
26.90	3108.4131
27.00	3108.5743
27.10	3080.9944
27.20	3073.4824
27.30	3082.2120
27.40	3079.2579
27.50	3063.7570
27.60	3053.5301
27.70	3043.1865
27.80	3029.8840
27.90	3018.9131
28.00	3011.7555
28.10	3008.2844
28.20	3008.1180
28.30	3012.1528
28.40	3017.9831
28.50	3031.8874
28.60	3066.4739
28.70	3112.0247
28.80	3116.0184
28.90	3121.8451
29.00	3133.8548
29.10	3147.4243
29.20	3158.7353
29.30	3157.3504
29.40	3154.9720
29.50	3158.5466
29.60	3162.7461
29.70	3166.7115
29.80	3181.6517
29.90	3200.2543
30.00	3229.6864
30.10	3261.0533
30.20	3291.8073
30.30	3319.7443
30.40	3355.3203
30.50	3423.6416
30.60	3493.9114
30.70	3556.8023
30.80	3614.6057
30.90	3631.4025
31.00	3627.8674
31.10	3630.6263
31.20	3636.4931
31.30	3657.8279
31.40	3675.8849
31.50	3670.2063
31.60	3644.0487
31.70	3596.1307
31.80	3554.2800
31.90	3535.8416
32.00	3504.8390
32.10	3458.6993
32.20	3407.5370
32.30	3330.3014
32.40	3259.2707
32.50	3205.0402
32.60	3172.1053
32.70	3159.4197
32.80	3142.1023
32.90	3112.4844
33.00	3083.8984
33.10	3060.5955
33.20	3046.2911
33.30	3012.3396
33.40	2985.8409
33.50	2980.7175
33.60	2969.9483
33.70	2946.2437
33.80	2922.8362
33.90	2906.3479
34.00	2896.2090
34.10	2876.6596
34.20	2865.8180
34.30	2859.9119
34.40	2852.8583
34.50	2855.3553
34.60	2858.3673
34.70	2855.8586
34.80	2845.4790
34.90	2837.3020
35.00	2833.5083
35.10	2799.4739
35.20	2778.6652
35.30	2772.3084
35.40	2769.2712
35.50	2751.7771
35.60	2743.1694
35.70	2737.6779
35.80	2737.1904
35.90	2732.2894
36.00	2725.0940
36.10	2718.0505
36.20	2716.5163
36.30	2713.0819
36.40	2712.0481
36.50	2710.8527
36.60	2706.1063
36.70	2704.5840
