# distance(km)	flowwidth
0.	0.
6.3	7.43E-08
6.4	8.23E-08
6.5	9.11E-08
6.6	1.01E-07
6.7	1.12E-07
6.8	1.24E-07
6.9	1.37E-07
7	1.52E-07
7.1	1.68E-07
7.2	1.86E-07
7.3	2.06E-07
7.4	2.28E-07
7.5	2.52E-07
7.6	2.79E-07
7.7	3.09E-07
7.8	3.42E-07
7.9	3.79E-07
8	4.19E-07
8.1	4.64E-07
8.2	5.14E-07
8.3	5.69E-07
8.4	6.30E-07
8.5	6.98E-07
8.6	7.72E-07
8.7	8.55E-07
8.8	9.47E-07
8.9	1.05E-06
9	1.16E-06
9.1	1.28E-06
9.2	1.42E-06
9.3	1.58E-06
9.4	1.74E-06
9.5	1.93E-06
9.6	2.14E-06
9.7	2.37E-06
9.8	2.62E-06
9.9	2.90E-06
10	3.11E-06
10.1	3.50E-06
10.2	3.93E-06
10.3	4.40E-06
10.4	4.89E-06
10.5	5.41E-06
10.6	5.96E-06
10.7	6.58E-06
10.8	7.25E-06
10.9	8.07E-06
11	8.96E-06
11.1	9.93E-06
11.2	1.10E-05
11.3	1.21E-05
11.4	1.34E-05
11.5	1.48E-05
11.6	1.63E-05
11.7	1.79E-05
11.8	1.97E-05
11.9	2.16E-05
12	2.37E-05
12.1	2.60E-05
12.2	2.84E-05
12.3	3.11E-05
12.4	3.40E-05
12.5	3.70E-05
12.6	4.04E-05
12.7	4.39E-05
12.8	4.78E-05
12.9	5.19E-05
13	5.63E-05
13.1	6.10E-05
13.2	6.61E-05
13.3	7.15E-05
13.4	7.72E-05
13.5	8.34E-05
13.6	9.00E-05
13.7	9.70E-05
13.8	0.000104611
13.9	0.000112738
14	0.000121443
14.1	0.000130764
14.2	0.000140739
14.3	0.000151409
14.4	0.000162818
14.5	0.00017501
14.6	0.000188032
14.7	0.000201934
14.8	0.000216766
14.9	0.000232581
15	0.000249433
15.1	0.000267379
15.2	0.000286481
15.3	0.000306797
15.4	0.000328383
15.5	0.000351299
15.6	0.0003756
15.7	0.000401351
15.8	0.000428621
15.9	0.000457479
16	0.000487997
16.1	0.000520252
16.2	0.000554318
16.3	0.000590274
16.4	0.0006282
16.5	0.00066818
16.6	0.000710299
16.7	0.000754643
16.8	0.000801303
16.9	0.000850468
17	0.000902151
17.1	0.000956452
17.2	0.001013469
17.3	0.001073265
17.4	0.001135884
17.5	0.001201363
17.6	0.001269943
17.7	0.001341477
17.8	0.001416039
17.9	0.001493633
18	0.001574212
18.1	0.001657939
18.2	0.001744756
18.3	0.001834538
18.4	0.001927373
18.5	0.002023457
18.6	0.002122941
18.7	0.002225678
18.8	0.002331866
18.9	0.002442018
19	0.002555946
19.1	0.002673719
19.2	0.002796122
19.3	0.002922838
19.4	0.003054258
19.5	0.003191019
19.6	0.00333289
19.7	0.003480856
19.8	0.003634831
19.9	0.003795557
20	0.00396363
20.1	0.00412189
20.2	0.004284628
20.3	0.004451931
20.4	0.004623892
20.5	0.004800603
20.6	0.004982158
20.7	0.005168653
20.8	0.005360188
20.9	0.005556863
21	0.005758779
21.1	0.005966041
21.2	0.006178756
21.3	0.006397033
21.4	0.00662098
21.5	0.006850706
21.6	0.007086335
21.7	0.007327987
21.8	0.007575784
21.9	0.007829987
22	0.008091275
22.1	0.00836021
22.2	0.008637036
22.3	0.008922006
22.4	0.009215386
22.5	0.009517451
22.6	0.009828493
22.7	0.010148824
22.8	0.010479689
22.9	0.010823876
23	0.011179541
23.1	0.011546055
23.2	0.011923832
23.3	0.012313303
23.4	0.012714919
23.5	0.013129167
23.6	0.013556558
23.7	0.013997618
23.8	0.014452882
23.9	0.014922895
24	0.015408214
24.1	0.015909419
24.2	0.016427105
24.3	0.016961889
24.4	0.017514407
24.5	0.018085313
24.6	0.018675284
24.7	0.019285014
24.8	0.01991522
24.9	0.020566637
25	0.021240023
25.1	0.021936154
25.2	0.022655827
25.3	0.02339986
25.4	0.024169091
25.5	0.024964376
25.6	0.025786594
25.7	0.026636662
25.8	0.027515504
25.9	0.028424028
26	0.029363185
26.1	0.030333943
26.2	0.031337288
26.3	0.032374221
26.4	0.033445759
26.5	0.03455294
26.6	0.035696833
26.7	0.036878529
26.8	0.038099142
26.9	0.03935979
27	0.040661592
27.1	0.042005658
27.2	0.043393051
27.3	0.044824672
27.4	0.046301178
27.5	0.047823173
27.6	0.04939148
27.7	0.051006932
27.8	0.052670368
27.9	0.054382636
28	0.056144734
28.1	0.057957349
28.2	0.059821291
28.3	0.061737396
28.4	0.063706536
28.5	0.065729617
