# F. Parrenin. 2023/05/05, melting/freezing from Salamatin et al. (PICR2. 2009, Figure 12c).
# Qm<0 here above the lake, which violates the assumption.
# It just means we restrict our study to the ice with q>0, ie water which comes from upstream.
# x(km)	m(m/yr)
0.00000	0.00000
314.90000	0.00000
315.00000	-0.00600
317.50000	-0.00576
318.50000	-0.00563
320.00000	-0.00558
323.10000	-0.00578
323.20000	0.00000
328.90000	0.00000
329.00000	-0.00620
330.00000	-0.00620
335.00000	-0.00560
340.00000	-0.00528
345.00000	-0.00507
350.00000	-0.00494
355.00000	-0.00488
360.00000	-0.00485
365.00000	-0.00482
370.00000	-0.00481
