# F. Parrenin, 2023/05/08. Isochrones from GTS-III digitized from Salamatin (PICR2, 2009, Figure 13a).
# X (km)	iso-50ka (m)	iso-100ka (m)	iso-150ka (m)
0	1010	1560	1915
10	1010	1530	1880
20	1020	1560	1920
30	1030	1590	1960
40	1040	1620	2020
50	1055	1650	2070
60	1065	1675	2110
70	1070	1690	2150
80	1065	1710	2185
90	1060	1720	2220
100	1045	1720	2230
110	1025	1700	2220
120	1000	1660	2190
130	970	1610	2140
140	955	1580	2100
150	940	1550	2060
160	910	1500	2000
170	920	1530	2035
180	980	1640	2210
190	880	1480	2000
200	720	1220	1630
210	700	1140	1530
220	810	1330	1780
230	830	1360	1810
240	920	1540	2080
250	830	1370	1880
260	780	1320	1820
270	740	1260	1730
280	720	1280	1770
290	700	1270	1760
300	720	1310	1820
310	760	1380	1950
320	910	1630	2280
330	920	1680	2350
340	900	1660	2330
350	840	1575	2250
360	780	1460	2130
370	730	1390	2030
