# F. Parrenin. 2023/05/05, upstream accu variations from Figure 8 from Salamatin et al. (PICR2. 2009). multiplied by 0.04175
# x(km)	a0(m/yr)	 		    
0	0.026932
10	0.026932
20	0.026932
30	0.026932
40	0.026932
50	0.026932
60	0.026932
65	0.026862
70	0.026366
75	0.025373
80	0.024098
85	0.022680
90	0.021830
95	0.021404
100	0.021759
105	0.022396
110	0.023105
115	0.023460
120	0.023530
130	0.023530
140	0.023530
150	0.023530
160	0.023530
170	0.023530
175	0.023460
180	0.023034
185	0.022255
190	0.021192
200	0.018853
210	0.016443
215	0.015380
220	0.014600
225	0.014246
230	0.014175
240	0.014175
250	0.014175
260	0.014175
270	0.014175
280	0.014175
285	0.014175
290	0.014388
300	0.016726
305	0.017719
310	0.018002
320	0.018002
325	0.017931
330	0.017719
335	0.017010
340	0.016160
345	0.015238
350	0.014529
355	0.014175
360	0.014175
370	0.014175
