# depth age thinning accu x_origin accu_steady
0.000000000000000000e+00 -5.174554772045377860e+01 9.999756058467527131e-01 2.544625762044357836e-02 3.700000000000000000e+02 1.650000000000000078e-02
1.000000000000000000e+00 -4.432916039724136681e+01 9.998231082512196721e-01 2.544625762044358530e-02 3.699834965998743996e+02 1.650000000000000078e-02
2.000000000000000000e+00 -2.935619860636303002e+01 9.996176070141825631e-01 2.552615223190984536e-02 3.699501799759195819e+02 1.650000000000000078e-02
3.000000000000000000e+00 -1.416730362646465124e+01 9.994090962909912834e-01 2.548951674346959864e-02 3.699163330740510105e+02 1.650000000000000078e-02
4.000000000000000000e+00 1.207498664344470285e+00 9.991975796173973023e-01 2.526326805312026358e-02 3.698819996342492686e+02 1.650000000000000078e-02
5.000000000000000000e+00 1.677898307018013213e+01 9.989827923125988995e-01 2.514440148713443027e-02 3.698471355893578334e+02 1.650000000000000078e-02
6.000000000000000000e+00 3.261458373699922220e+01 9.987644701778382039e-01 2.503196297206505480e-02 3.698116968506641342e+02 1.650000000000000078e-02
7.000000000000000000e+00 4.888357203832111963e+01 9.985426175620819578e-01 2.402932278429635929e-02 3.697756393071370553e+02 1.650000000000000078e-02
8.000000000000000000e+00 6.549108455228397929e+01 9.983173728436000038e-01 2.367267513040163807e-02 3.697390066776493427e+02 1.650000000000000078e-02
9.000000000000000000e+00 8.243796938599534485e+01 9.980884725159985260e-01 2.298303696991399123e-02 3.697017987661931784e+02 1.650000000000000078e-02
1.000000000000000000e+01 1.004572750210383560e+02 9.978556535960343421e-01 2.309705414352613076e-02 3.696639275001024885e+02 1.650000000000000078e-02
1.100000000000000000e+01 1.190878574155679104e+02 9.976190550264356638e-01 2.320137085899432947e-02 3.696253926455968326e+02 1.650000000000000078e-02
1.200000000000000000e+01 1.385179807318294820e+02 9.973788155917400200e-01 2.328761475891417271e-02 3.695862379121173831e+02 1.650000000000000078e-02
1.300000000000000000e+01 1.581333832859793347e+02 9.971346728915682078e-01 2.335765155506621879e-02 3.695464630738735536e+02 1.650000000000000078e-02
1.400000000000000000e+01 1.780312714230093718e+02 9.968863650982968672e-01 2.349709662502542235e-02 3.695059799847538784e+02 1.650000000000000078e-02
1.500000000000000000e+01 1.982026475046561984e+02 9.966338980600570885e-01 2.318982322152986220e-02 3.694647883779803124e+02 1.650000000000000078e-02
1.600000000000000000e+01 2.186291416593745112e+02 9.963772777206415521e-01 2.302847960274424788e-02 3.694228879820254861e+02 1.650000000000000078e-02
1.700000000000000000e+01 2.393236810085606976e+02 9.961165101249844778e-01 2.271072899342149384e-02 3.693802785206065096e+02 1.650000000000000078e-02
1.800000000000000000e+01 2.607673779379897496e+02 9.958514680478487424e-01 2.264924586910365550e-02 3.693369597126791746e+02 1.650000000000000078e-02
1.900000000000000000e+01 2.827228849118482685e+02 9.955820246355150394e-01 2.255864394389063554e-02 3.692928872849626600e+02 1.650000000000000078e-02
2.000000000000000000e+01 3.052567695531440677e+02 9.953081866227655450e-01 2.213178133956936883e-02 3.692480609285007063e+02 1.650000000000000078e-02
2.100000000000000000e+01 3.282947742636370094e+02 9.950299608496668835e-01 2.204108678046442713e-02 3.692024803289506281e+02 1.650000000000000078e-02
2.200000000000000000e+01 3.518759645439944848e+02 9.947472211826361432e-01 2.214095415130392513e-02 3.691561451665758113e+02 1.650000000000000078e-02
2.300000000000000000e+01 3.763249793369106442e+02 9.944601079024034673e-01 2.258611202131987489e-02 3.691090111036215831e+02 1.650000000000000078e-02
2.400000000000000000e+01 4.010564300364202950e+02 9.941687611086720278e-01 2.289696441268202626e-02 3.690611658282286953e+02 1.650000000000000078e-02
2.500000000000000000e+01 4.260549961655845550e+02 9.938729221190053531e-01 2.303822982704195610e-02 3.690125649982583695e+02 1.650000000000000078e-02
2.600000000000000000e+01 4.507095698749162693e+02 9.935725985297988450e-01 2.293719769534734859e-02 3.689631642397480391e+02 1.650000000000000078e-02
2.700000000000000000e+01 4.756577640585737186e+02 9.932679307605036811e-01 2.281510791407828642e-02 3.689130072247257885e+02 1.650000000000000078e-02
2.800000000000000000e+01 5.009235289305788683e+02 9.929589263976250635e-01 2.301717878947729876e-02 3.688620936006155944e+02 1.650000000000000078e-02
2.900000000000000000e+01 5.268124651048132137e+02 9.926455931325227633e-01 2.334292719070263714e-02 3.688104230093919114e+02 1.650000000000000078e-02
3.000000000000000000e+01 5.529549816325593383e+02 9.923280712415285532e-01 2.389041102329697228e-02 3.687579950875709187e+02 1.650000000000000078e-02
3.100000000000000000e+01 5.793275370225898087e+02 9.920063683822260003e-01 2.459822258763869757e-02 3.687048535341511979e+02 1.650000000000000078e-02
3.200000000000000000e+01 6.051367449524199174e+02 9.916803599891497178e-01 2.429357839608374883e-02 3.686509539215315385e+02 1.650000000000000078e-02
3.300000000000000000e+01 6.308549136716189878e+02 9.913503186426662062e-01 2.339907271788652099e-02 3.685962958701174443e+02 1.650000000000000078e-02
3.400000000000000000e+01 6.564776388526641995e+02 9.910163841991148637e-01 2.243406206493082922e-02 3.685409671756345915e+02 1.650000000000000078e-02
3.500000000000000000e+01 6.838830343038150659e+02 9.906784321285881934e-01 2.223582831487578432e-02 3.684849233955394538e+02 1.650000000000000078e-02
3.600000000000000000e+01 7.124347072996653196e+02 9.903367342896874925e-01 2.227345183040294399e-02 3.684281641577250639e+02 1.650000000000000078e-02
3.700000000000000000e+01 7.419938008928376121e+02 9.899914300387603339e-01 2.384382385848352048e-02 3.683707773126535585e+02 1.650000000000000078e-02
3.800000000000000000e+01 7.718343583101107015e+02 9.896425266515620489e-01 2.488983551669990413e-02 3.683127184045184208e+02 1.650000000000000078e-02
3.900000000000000000e+01 8.006005856837017518e+02 9.892901632015588254e-01 2.619701976535139185e-02 3.682540312010022490e+02 1.650000000000000078e-02
4.000000000000000000e+01 8.284098062406623058e+02 9.889343468400104697e-01 2.489891005100543578e-02 3.681947153601237233e+02 1.650000000000000078e-02
4.100000000000000000e+01 8.546188047306259250e+02 9.885752163399430525e-01 2.412279344310079565e-02 3.681347705360909117e+02 1.650000000000000078e-02
4.200000000000000000e+01 8.821648236671143195e+02 9.882129101795518178e-01 2.327266888736618383e-02 3.680742405337076661e+02 1.650000000000000078e-02
4.300000000000000000e+01 9.108979004731049827e+02 9.878475665345674006e-01 2.298287874873581813e-02 3.680131250247241610e+02 1.650000000000000078e-02
4.400000000000000000e+01 9.412591259890855326e+02 9.874793232728614756e-01 2.335335583376567034e-02 3.679514678488362733e+02 1.650000000000000078e-02
4.500000000000000000e+01 9.722120791497184200e+02 9.871081867563351597e-01 2.375499587991410089e-02 3.678892686967859618e+02 1.650000000000000078e-02
4.600000000000000000e+01 1.003173165302537768e+03 9.867342944886740019e-01 2.438427392311856914e-02 3.678265272564572115e+02 1.650000000000000078e-02
4.700000000000000000e+01 1.033722876513968458e+03 9.863577836492212203e-01 2.406043952817997142e-02 3.677632874099817286e+02 1.650000000000000078e-02
4.800000000000000000e+01 1.063788030319411746e+03 9.859786601693595331e-01 2.390104718698562655e-02 3.676995488658006934e+02 1.650000000000000078e-02
4.900000000000000000e+01 1.094327794302761276e+03 9.855970608397008892e-01 2.438679851752981187e-02 3.676353113299211941e+02 1.650000000000000078e-02
5.000000000000000000e+01 1.125463532014045313e+03 9.852129913809906103e-01 2.504730844044535110e-02 3.675706187294995857e+02 1.650000000000000078e-02
5.100000000000000000e+01 1.156138390490809343e+03 9.848263269251406049e-01 2.538256557640720251e-02 3.675054265600032295e+02 1.650000000000000078e-02
5.200000000000000000e+01 1.186369071489993757e+03 9.844372040816568026e-01 2.541404727795574733e-02 3.674397345203204281e+02 1.650000000000000078e-02
5.300000000000000000e+01 1.216288219491441396e+03 9.840457591096575252e-01 2.490551225935462229e-02 3.673735865575679327e+02 1.650000000000000078e-02
5.400000000000000000e+01 1.246377886163486210e+03 9.836519975738755583e-01 2.476243661092212764e-02 3.673069823932289637e+02 1.650000000000000078e-02
5.500000000000000000e+01 1.277241129905942444e+03 9.832559250700744213e-01 2.474859901315087235e-02 3.672399217467311132e+02 1.650000000000000078e-02
5.600000000000000000e+01 1.308556390100940234e+03 9.828575472248647360e-01 2.535422174929383154e-02 3.671724043354424225e+02 1.650000000000000078e-02
5.700000000000000000e+01 1.340109138045148029e+03 9.824568696903260845e-01 2.563776003001263723e-02 3.671044298746674599e+02 1.650000000000000078e-02
5.800000000000000000e+01 1.371171210611441666e+03 9.820538981516964139e-01 2.590571895674798064e-02 3.670359980776431712e+02 1.650000000000000078e-02
